emission,spot,station,echeance,lead_h,prevu_kn,mesure_kn,erreur_kn
202609030500,joux,CHB,202609041400,33.0,6.3,10.9,-4.6
202609040900,cologny,GVE,202609041400,5.0,3.8,4.9,-1.1
202609040900,reposoir,GVE,202609041400,5.0,5.2,4.9,0.3
202609040900,vengeron,GVE,202609041400,5.0,5.2,4.9,0.3
202609040900,coppet,CGI,202609041400,5.0,4.1,1.7,2.4
202609040900,nyon,CGI,202609041400,5.0,2.8,1.7,1.1
202609040900,preverenges,PRE,202609041400,5.0,2.9,3.1,-0.2
202609040900,bouveret,BOU,202609041400,5.0,1.3,2.2,-0.9
202609040900,joux,CHB,202609041400,5.0,6.9,10.9,-4.0
202609030500,cologny,GVE,202609041700,36.0,4.8,7.4,-2.6
202609030500,reposoir,GVE,202609041700,36.0,4.1,7.4,-3.3
202609030500,vengeron,GVE,202609041700,36.0,4.1,7.4,-3.3
202609030500,coppet,CGI,202609041700,36.0,4.6,7.6,-3.0
202609030500,nyon,CGI,202609041700,36.0,3.9,7.6,-3.7
202609030500,preverenges,PRE,202609041700,36.0,2.9,2.2,0.7
202609030500,bouveret,BOU,202609041700,36.0,2.5,1.3,1.2
202609030500,joux,CHB,202609041700,36.0,5.8,3.9,1.9
202609040900,cologny,GVE,202609041700,8.0,5.7,7.4,-1.7
202609040900,reposoir,GVE,202609041700,8.0,4.4,7.4,-3.0
202609040900,vengeron,GVE,202609041700,8.0,4.4,7.4,-3.0
202609040900,coppet,CGI,202609041700,8.0,3.8,7.6,-3.8
202609040900,nyon,CGI,202609041700,8.0,3.6,7.6,-4.0
202609040900,preverenges,PRE,202609041700,8.0,2.4,2.2,0.2
202609040900,bouveret,BOU,202609041700,8.0,2.2,1.3,0.9
202609040900,joux,CHB,202609041700,8.0,5.3,3.9,1.4
202609030500,cologny,GVE,202609042000,39.0,1.9,3.1,-1.2
202609030500,reposoir,GVE,202609042000,39.0,1.7,3.1,-1.4
202609030500,vengeron,GVE,202609042000,39.0,1.7,3.1,-1.4
202609030500,coppet,CGI,202609042000,39.0,1.8,5.8,-4.0
202609030500,nyon,CGI,202609042000,39.0,3.0,5.8,-2.8
202609030500,preverenges,PRE,202609042000,39.0,3.0,1.9,1.1
202609030500,bouveret,BOU,202609042000,39.0,2.0,3.3,-1.3
202609030500,joux,CHB,202609042000,39.0,4.7,1.6,3.1
202609040900,cologny,GVE,202609042000,11.0,2.5,3.1,-0.6
202609040900,reposoir,GVE,202609042000,11.0,2.0,3.1,-1.1
202609040900,vengeron,GVE,202609042000,11.0,2.0,3.1,-1.1
202609040900,coppet,CGI,202609042000,11.0,1.9,5.8,-3.9
202609040900,nyon,CGI,202609042000,11.0,2.6,5.8,-3.2
202609040900,preverenges,PRE,202609042000,11.0,3.3,1.9,1.4
202609040900,bouveret,BOU,202609042000,11.0,1.8,3.3,-1.5
202609040900,joux,CHB,202609042000,11.0,3.4,1.6,1.8
202609030500,cologny,GVE,202609042300,42.0,2.1,2.5,-0.4
202609030500,reposoir,GVE,202609042300,42.0,1.7,2.5,-0.8
202609030500,vengeron,GVE,202609042300,42.0,1.7,2.5,-0.8
202609030500,coppet,CGI,202609042300,42.0,1.7,3.3,-1.6
202609030500,nyon,CGI,202609042300,42.0,2.1,3.3,-1.2
202609030500,preverenges,PRE,202609042300,42.0,2.7,1.3,1.4
202609030500,bouveret,BOU,202609042300,42.0,1.8,2.2,-0.4
202609030500,joux,CHB,202609042300,42.0,4.2,2.5,1.7
202609040900,cologny,GVE,202609042300,14.0,2.3,2.5,-0.2
202609040900,reposoir,GVE,202609042300,14.0,1.6,2.5,-0.9
202609040900,vengeron,GVE,202609042300,14.0,1.6,2.5,-0.9
202609040900,coppet,CGI,202609042300,14.0,1.7,3.3,-1.6
202609040900,nyon,CGI,202609042300,14.0,1.7,3.3,-1.6
